DeviceType,NodeId,Position x,Position y,DistanceToClosestGW,DataRateIndex
3989,1,-5993.54,661.858,6029.98,0
3990,1,5634.75,1222.35,5765.81,0
3991,1,-396.471,2407.69,2440.12,3
3992,1,-5822.72,-412.645,5837.32,0
3993,1,3442.34,3253.21,4736.35,0
3994,1,1156.51,4790.73,4928.35,0
3995,1,-1688.75,4545.41,4848.98,0
3996,1,4285,-2666.14,5046.73,0
3997,1,2560.92,-2762.11,3766.64,1
3998,1,-446.992,6043.39,6059.89,0
3999,1,-3507.07,4905.59,6030.28,0
4000,1,5439.22,-2712.16,6077.91,0
4001,1,4565.39,-2101.99,5026.05,0
4002,1,2689.07,5127.77,5790.09,0
4003,1,-4143.6,-2521.24,4850.36,0
4004,1,-2030.01,1292.78,2406.7,4
4005,1,-4616.11,-3357.71,5708.13,0
4006,1,-158.517,1165.38,1176.11,5
4007,1,-4209.34,-3361.92,5387.12,0
4008,1,-1915.62,-5382,5712.75,0
4009,1,4039.62,2614.77,4812.02,0
4010,1,-669.004,-4753.82,4800.67,0
4011,1,4919.24,1677.31,5197.33,0
4012,1,-5439.23,2304.59,5907.31,0
4013,1,-3142.12,-908.491,3270.83,2
4014,1,-677.778,2387.97,2482.3,3
4015,1,3318.56,1321.19,3571.89,2
4016,1,1802.55,3761.97,4171.52,1
4017,1,958.587,3439.05,3570.14,2
4018,1,4139.04,-1170.47,4301.35,1
4019,1,-2388.3,2941.25,3788.79,1
4020,1,-5680.53,-1908,5992.4,0
4021,1,1521.3,1724.53,2299.64,4
4022,1,5088.26,217.025,5092.88,0
4023,1,-5398.98,1980.46,5750.76,0
4024,1,-3262.36,-4083.53,5226.68,0
4025,1,-2261.03,818.661,2404.68,4
4026,1,1967.2,5274.51,5629.42,0
4027,1,414.662,-1560.39,1614.54,5
4028,1,-2646.84,-1570.23,3077.56,2
4029,1,-3849.65,-4635.91,6025.9,0
4030,1,1026.9,2770.73,2954.91,3
4031,1,-2448.56,-3793.77,4515.33,1
4032,1,-659.213,-2395.07,2484.14,3
4033,1,-4031.78,420.057,4053.6,1
4034,1,-2841.04,-5108.82,5845.64,0
4035,1,-5320.8,-846.295,5387.68,0
4036,1,509.908,5485.37,5509.02,0
4037,1,5085.98,1057.85,5194.83,0
4038,1,1538.03,925.362,1794.94,5
4039,1,-2126.89,-2583.54,3346.39,2
4040,1,2186.16,4657.78,5145.31,0
4041,1,-1878.99,-4513.94,4889.41,0
4042,1,842.927,4337.03,4418.19,1
4043,1,1886.9,-809.816,2053.33,4
4044,1,-4957.54,1764.23,5262.1,0
4045,1,2036.97,1.05229,2036.97,4
4046,1,-3169.72,2074.91,3788.45,1
4047,1,172.342,-3609.81,3613.92,2
4048,1,-3154.99,-2405.12,3967.19,1
4049,1,1536.59,1873.89,2423.34,4
4050,1,-2060.9,-3870.59,4385.06,1
4051,1,470.576,-4996.86,5018.97,0
4052,1,-2144.95,5429.86,5838.17,0
4053,1,4294.41,-3338.89,5439.68,0
4054,1,1157.09,-5500.51,5620.9,0
4055,1,4341.31,-2735.88,5131.47,0
4056,1,2992.35,2846.18,4129.76,1
4057,1,-5060.91,642.621,5101.55,0
4058,1,-4771.46,1022.69,4879.82,0
4059,1,69.7378,-3616.32,3617,2
4060,1,5074.55,1444.75,5276.21,0
4061,1,-1732.51,3787.84,4165.25,1
4062,1,-3885.24,1714.9,4246.88,1
4063,1,588.118,271.429,647.732,5
4064,1,-379.428,1973.33,2009.47,4
4065,1,3940.35,-1255.64,4135.58,1
4066,1,1727.82,2324.1,2896,3
4067,1,-4979.3,-1175.05,5116.07,0
4068,1,-513.328,3008.99,3052.46,2
4069,1,2924.33,-284.199,2938.11,3
4070,1,-5099.43,1107.3,5218.27,0
4071,1,5995.63,756.714,6043.19,0
4072,1,61.5903,-2723.56,2724.25,3
4073,1,-1130.64,1622.41,1977.52,5
4074,1,3533.92,1926.73,4025.03,1
4075,1,-2812.95,179.27,2818.65,3
4076,1,4503.49,-2961.17,5389.8,0
4077,1,5440.23,-2155.19,5851.57,0
4078,1,736.236,534.747,909.944,5
4079,1,-2788.4,-1611.1,3220.38,2
4080,1,1949.25,-147.94,1954.86,5
4081,1,-3037.83,2520.16,3947.1,1
4082,1,-1730.8,-3537.87,3938.55,1
4083,1,1024.23,-805.315,1302.91,5
4084,1,-2327.28,3496.2,4199.95,1
4085,1,-5131.21,1666.06,5394.91,0
4086,1,3237.31,208.682,3244.03,2
4087,1,-1123.49,-670.737,1308.48,5
4088,1,-3641.14,2563.28,4452.9,1
4089,1,544.262,-1587.39,1678.11,5
4090,1,-2462.67,-6.50581,2462.68,3
4091,1,-5580.21,-644.264,5617.28,0
4092,1,-2381.9,1708.94,2931.54,3
4093,1,1953.58,-5375.23,5719.23,0
4094,1,1885.17,-2563.71,3182.21,2
4095,1,871.359,-440.257,976.265,5
4096,1,2944.36,634.494,3011.95,3
4097,1,5893.06,-167.011,5895.42,0
4098,1,-2371.62,-855.135,2521.08,3
4099,1,628.639,5455.79,5491.89,0
4100,1,4116.57,3985.66,5729.89,0
4101,1,1072.9,3100.49,3280.88,2
4102,1,-3598.31,1980.86,4107.51,1
4103,1,-440.635,3926.98,3951.62,1
4104,1,472.787,4756.82,4780.25,0
4105,1,529.169,-5237.47,5264.13,0
4106,1,1621.04,5536.67,5769.1,0
4107,1,-3853.76,1783.94,4246.64,1
4108,1,-537.075,-5526.48,5552.52,0
4109,1,3986.46,621.765,4034.66,1
4110,1,5410.13,-538.665,5436.88,0
4111,1,-4730.07,-3235.15,5730.59,0
4112,1,1660.05,-2847.92,3296.42,2
4113,1,-2639.37,-2800.31,3848.12,1
4114,1,-3071.82,2214.49,3786.83,1
4115,1,-2748.3,-72.3726,2749.25,3
4116,1,845.446,-5584.29,5647.92,0
4117,1,4239.96,2559.35,4952.52,0
4118,1,-2624.81,3016,3998.23,1
4119,1,-4258.01,-1344.65,4465.28,1
4120,1,3388.91,4999.42,6039.78,0
4121,1,-5074.35,-1635.28,5331.34,0
4122,1,-2024.08,-3721.35,4236.2,1
4123,1,1271.21,5190.66,5344.05,0
4124,1,-2800.96,991.36,2971.22,3
4125,1,-3090.71,-1208.97,3318.75,2
4126,1,-2518.04,-2373.06,3460.05,2
4127,1,-2342.46,-4191.82,4801.92,0
4128,1,89.2853,-448.325,457.13,5
4129,1,-1464.58,-4962.76,5174.36,0
4130,1,3870.75,4066.75,5614.37,0
4131,1,884.009,-2499.67,2651.39,3
4132,1,-1622.12,-3792.81,4125.13,1
4133,1,556.331,-1831.55,1914.18,5
4134,1,-3931.47,1285.17,4136.19,1
4135,1,-3614.52,1624.78,3962.91,1
4136,1,2046.99,2440.59,3185.38,2
4137,1,-3772.63,-1363.75,4011.55,1
4138,1,-2402.97,4053.56,4712.28,0
4139,1,-776.525,-1037.8,1296.15,5
4140,1,335.134,-1541.84,1577.84,5
4141,1,4919.19,-1845.29,5253.91,0
4142,1,2535.3,-373.679,2562.69,3
4143,1,-672.013,-4652.1,4700.38,0
4144,1,5300.48,-203.762,5304.39,0
4145,1,56.1474,4252.91,4253.28,1
4146,1,-651.594,-3900.18,3954.23,1
4147,1,-592.655,1594.08,1700.68,5
4148,1,15.0731,-4702.75,4702.78,0
4149,1,-1379.26,-481.388,1460.85,5
4150,1,-2151.44,-4726.44,5193.06,0
4151,1,5730.44,1249.74,5865.13,0
4152,1,-5669.43,-1577.88,5884.91,0
4153,1,5306.61,-2667.72,5939.44,0
4154,1,-5758.61,-547.522,5784.58,0
4155,1,1867.41,-1818.63,2606.65,3
4156,1,3692.62,1717.81,4072.63,1
4157,1,-3754.11,-1730.13,4133.6,1
4158,1,3094.83,2837.94,4199.04,1
4159,1,-1864.16,4925.27,5266.25,0
4160,1,-2190.73,2732.55,3502.3,2
4161,1,-4756.98,-1836.85,5099.3,0
4162,1,4023.22,-200.585,4028.22,1
4163,1,4364.5,453.87,4388.04,1
4164,1,3872,482.928,3902,1
4165,1,4922.12,-130.188,4923.85,0
4166,1,4952.11,3115.22,5850.47,0
4167,1,-3708.92,-4820.91,6082.54,0
4168,1,338.76,3574.57,3590.59,2
4169,1,-1293.1,-4088.56,4288.17,1
4170,1,-2708.37,3610.91,4513.75,1
4171,1,3036.07,5099.81,5935.13,0
4172,1,-4093.33,1994.62,4553.44,1
4173,1,4289.9,3510.18,5542.98,0
4174,1,-1041.39,-4781.79,4893.87,0
4175,1,4268.69,-4354.25,6097.64,0
4176,1,-1027.93,-5652.57,5745.28,0
4177,1,47.5636,-4864.09,4864.32,0
4178,1,-1778.11,2755.78,3279.63,2
4179,1,4344.68,-2795.88,5166.55,0
4180,1,1384.66,4249.03,4468.96,1
4181,1,3757.9,-1184.68,3940.21,1
4182,1,164.942,-1433.02,1442.48,5
4183,1,-2160.24,-1016.05,2387.26,4
4184,1,-394.725,-4355.28,4373.13,1
4185,1,785.144,-2938.34,3041.43,2
4186,1,1627.37,2293.32,2812.06,3
4187,1,603.678,-2515.51,2586.93,3
4188,1,3740.16,-4078.36,5533.7,0
4189,1,470.963,-797.078,925.818,5
4190,1,-333.554,-1949.54,1977.87,5
4191,1,762.995,3290.06,3377.37,2
4192,1,3694.59,-2077.86,4238.81,1
4193,1,-5549.38,1836.93,5845.5,0
4194,1,-312.835,2242.84,2264.55,4
4195,1,-1629.2,-3731.49,4071.65,1
4196,1,1484.49,4634.76,4866.7,0
4197,1,-3591.33,4827.71,6017.01,0
4198,1,-1066.51,-2983.83,3168.7,2
4199,1,-705.336,4090.83,4151.19,1
4200,1,5365.56,-1536.63,5581.26,0
4201,1,2166.38,-348.543,2194.24,4
4202,1,3020.17,-2231.31,3755.02,1
4203,1,3288.64,789.838,3382.16,2
4204,1,3513.37,-850.492,3614.84,2
4205,1,-2533.56,1734.17,3070.22,2
4206,1,-4261.68,-2332.66,4858.32,0
4207,1,5446.72,2711.53,6084.34,0
4208,1,2711.99,2802.54,3899.88,1
4209,1,-737.977,-3282.9,3364.83,2
4210,1,3171.79,4782.71,5738.87,0
4211,1,-1872.43,-908.05,2080.99,4
4212,1,-2303.98,-3956.21,4578.2,1
4213,1,2202.61,-3484.51,4122.3,1
4214,1,3300.8,4809.31,5833.08,0
4215,1,-5653.37,-1445.59,5835.27,0
4216,1,2540.26,-3105.32,4011.98,1
4217,1,-3045.37,-623.685,3108.58,2
4218,1,4289.6,3512.89,5544.46,0
4219,1,-2297.16,2549.92,3432.06,2
4220,1,4792.99,-1594.92,5051.39,0
4221,1,-1849.02,3592.74,4040.62,1
4222,1,1775.94,-1222.56,2156.07,4
4223,1,3909.05,-72.7819,3909.73,1
4224,1,3171.9,3694.86,4869.59,0
4225,1,-5880.94,-289.325,5888.05,0
4226,1,4501.62,-77.9981,4502.29,1
4227,1,-3776.13,2878.36,4748.07,0
4228,1,2946.1,3773.59,4787.43,0
4229,1,-2237.83,4781.29,5279.08,0
4230,1,-3521.95,-3924.97,5273.47,0
4231,1,-4227.71,-3514.49,5497.74,0
4232,1,-1970.38,1391.24,2412.04,4
4233,1,-3790.84,449.33,3817.38,1
4234,1,836.504,2433.19,2572.96,3
4235,1,-4210.5,-648.722,4260.19,1
4236,1,-172.62,-3684.04,3688.08,2
4237,1,-1055.4,-5773.79,5869.46,0
4238,1,-5527.97,-798.383,5585.33,0
4239,1,1190.81,-1690.79,2068.04,4
4240,1,5199.43,3145.57,6076.89,0
4241,1,-211.399,-2681.57,2689.89,3
4242,1,-1123.57,1680.66,2021.64,4
4243,1,-3110.73,1767.3,3577.7,2
4244,1,1125.9,3295.25,3482.29,2
4245,1,-3120.01,3890.74,4987.22,0
4246,1,668.404,3933.25,3989.64,1
4247,1,-2507.13,-3154.29,4029.3,1
4248,1,-1638.5,2523.42,3008.71,3
4249,1,-2849.97,4775.51,5561.28,0
4250,1,-5064.97,1958.22,5430.34,0
4251,1,4414.64,-3183.82,5442.96,0
4252,1,2366.5,4363.76,4964.14,0
4253,1,3194.19,2820.49,4261.23,1
4254,1,1624.3,4494.03,4778.56,0
4255,1,1800.25,3791.86,4197.52,1
4256,1,883.838,4470.29,4556.83,1
4257,1,-186.052,2124.57,2132.7,4
4258,1,-5829.07,-573.905,5857.26,0
4259,1,-1522.17,-3683.7,3985.81,1
4260,1,2203.68,2700.28,3485.36,2
4261,1,-5187.56,-1003.79,5283.78,0
4262,1,-639.777,2512.74,2592.91,3
4263,1,3071.94,2163.43,3757.3,1
4264,1,2957.22,3047.12,4246.19,1
4265,1,1973.36,765.907,2116.78,4
4266,1,-998.948,509.124,1121.21,5
4267,1,-5695.12,-1990.81,6033.05,0
4268,1,-4519.53,1063.93,4643.07,0
4269,1,-645.137,3652.89,3709.42,2
4270,1,1072.15,-4471.5,4598.24,1
4271,1,3605.81,861.026,3707.19,2
4272,1,2065.53,3914.07,4425.65,1
4273,1,4616.83,31.9415,4616.94,1
4274,1,-602.115,5967.57,5997.87,0
4275,1,3005.45,-3863.87,4895.12,0
4276,1,1463.48,-615.958,1587.83,5
4277,1,4027.91,-4269.59,5869.71,0
4278,1,653.148,3761.8,3818.08,1
4279,1,2965.08,634.374,3032.18,2
4280,1,1078.16,-3584.41,3743.05,1
4281,1,-1253.75,-196.223,1269.01,5
