Time,TraceSource,NodeId,MsgType,TxRemaining,PacketHex,PacketLength
2452.303722097,USMsgRx,5,2,0,ffffffffffffffff,8
3754.134705160,USMsgRx,4,2,0,fdffffffffffffff,8
4976.240602966,USMsgRx,3,2,0,fcffffffffffffff,8
6323.702564089,USMsgRx,1,2,0,fbffffffffffffff,8
8571.445947757,USMsgRx,5,2,0,f9ffffffffffffff,8
10417.088731014,USMsgRx,4,2,0,f8ffffffffffffff,8
10799.259310042,USMsgRx,3,2,0,f7ffffffffffffff,8
14287.092700508,USMsgRx,5,2,0,f5ffffffffffffff,8
15170.253454999,USMsgRx,2,2,0,f4ffffffffffffff,8
16390.004268382,USMsgRx,4,2,0,f3ffffffffffffff,8
16708.007987141,USMsgRx,3,2,0,f2ffffffffffffff,8
18464.752309614,USMsgRx,1,2,0,f1ffffffffffffff,8
20577.440251223,USMsgRx,5,2,0,f0ffffffffffffff,8
20924.718354917,USMsgRx,2,2,0,efffffffffffffff,8
22075.641349381,USMsgRx,4,2,0,eeffffffffffffff,8
23137.166657355,USMsgRx,3,2,0,edffffffffffffff,8
26171.760392006,USMsgRx,5,2,0,ebffffffffffffff,8
27969.078593457,USMsgRx,4,2,0,e9ffffffffffffff,8
29231.232135232,USMsgRx,3,2,0,e8ffffffffffffff,8
32813.188193513,USMsgRx,5,2,0,e5ffffffffffffff,8
34272.923685692,USMsgRx,4,2,0,e4ffffffffffffff,8
34909.616062327,USMsgRx,3,2,0,e3ffffffffffffff,8
35946.515260460,USMsgRx,1,2,0,e2ffffffffffffff,8
39036.267285464,USMsgRx,2,2,0,e0ffffffffffffff,8
40140.460935723,USMsgRx,4,2,0,dfffffffffffffff,8
40435.063761450,USMsgRx,3,2,0,deffffffffffffff,8
44638.785763202,USMsgRx,2,2,0,dcffffffffffffff,8
44760.193070864,USMsgRx,5,2,0,dbffffffffffffff,8
45783.821642822,USMsgRx,4,2,0,daffffffffffffff,8
46434.217647679,USMsgRx,3,2,0,d9ffffffffffffff,8
50647.184391786,USMsgRx,5,2,0,d7ffffffffffffff,8
52000.352437737,USMsgRx,4,2,0,d5ffffffffffffff,8
53280.696993297,USMsgRx,3,2,0,d4ffffffffffffff,8
54737.508736659,USMsgRx,1,2,0,d3ffffffffffffff,8
56256.095439348,USMsgRx,5,2,0,d2ffffffffffffff,8
57840.399102840,USMsgRx,4,2,0,d0ffffffffffffff,8
58531.016263147,USMsgRx,3,2,0,cfffffffffffffff,8
59980.534046147,USMsgRx,1,2,0,ceffffffffffffff,8
