Time,TraceSource,NodeId,MsgType,TxRemaining,PacketHex,PacketLength
192.709323199,USMsgRx,4098,2,0,64ffffffffffffff,8
194.821818829,USMsgRx,2891,2,0,62ffffffffffffff,8
196.451107619,USMsgRx,2939,2,0,60ffffffffffffff,8
196.500996729,USMsgRx,4477,2,0,61ffffffffffffff,8
197.147621945,USMsgRx,3190,2,0,5fffffffffffffff,8
197.496741511,USMsgRx,4965,2,0,5cffffffffffffff,8
197.874168635,USMsgRx,4332,2,0,5bffffffffffffff,8
198.289035791,USMsgRx,3730,2,0,5effffffffffffff,8
199.391712245,USMsgRx,3401,2,0,57ffffffffffffff,8
201.795199934,USMsgRx,2206,2,0,54ffffffffffffff,8
202.254376554,USMsgRx,4504,2,0,53ffffffffffffff,8
202.388484867,USMsgRx,2782,2,0,56ffffffffffffff,8
203.103548833,USMsgRx,1532,2,0,51ffffffffffffff,8
205.090470430,USMsgRx,702,2,0,50ffffffffffffff,8
205.579109138,USMsgRx,1680,2,0,4effffffffffffff,8
207.561890795,USMsgRx,3356,2,0,4cffffffffffffff,8
208.945773703,USMsgRx,4157,2,0,4affffffffffffff,8
209.310591549,USMsgRx,3430,2,0,46ffffffffffffff,8
209.872505190,USMsgRx,1270,2,0,49ffffffffffffff,8
211.951669045,USMsgRx,3011,2,0,44ffffffffffffff,8
212.322071157,USMsgRx,3910,2,0,41ffffffffffffff,8
214.399867686,USMsgRx,4895,2,0,3effffffffffffff,8
217.182085997,USMsgRx,3966,2,0,3bffffffffffffff,8
218.355899463,USMsgRx,3052,2,0,36ffffffffffffff,8
218.410880924,USMsgRx,600,2,0,35ffffffffffffff,8
218.819186267,USMsgRx,1557,2,0,38ffffffffffffff,8
219.763826057,USMsgRx,4741,2,0,32ffffffffffffff,8
219.772739027,USMsgRx,2538,2,0,34ffffffffffffff,8
220.504778031,USMsgRx,1711,2,0,33ffffffffffffff,8
221.327771627,USMsgRx,2325,2,0,2fffffffffffffff,8
221.437053247,USMsgRx,4065,2,0,31ffffffffffffff,8
221.701419080,USMsgRx,2211,2,0,2effffffffffffff,8
223.340162594,USMsgRx,1146,2,0,2dffffffffffffff,8
224.474553225,USMsgRx,3591,2,0,2bffffffffffffff,8
224.795880866,USMsgRx,266,2,0,29ffffffffffffff,8
225.138505532,USMsgRx,1505,2,0,2affffffffffffff,8
225.345844576,USMsgRx,3412,2,0,27ffffffffffffff,8
226.337298009,USMsgRx,3765,2,0,24ffffffffffffff,8
227.302150364,USMsgRx,1787,2,0,22ffffffffffffff,8
227.783915697,USMsgRx,793,2,0,1effffffffffffff,8
228.525445838,USMsgRx,3469,2,0,1dffffffffffffff,8
228.894588778,USMsgRx,4126,2,0,1cffffffffffffff,8
228.928992034,USMsgRx,1376,2,0,19ffffffffffffff,8
228.970319730,USMsgRx,1972,2,0,1fffffffffffffff,8
232.828263510,USMsgRx,1470,2,0,18ffffffffffffff,8
235.095213840,USMsgRx,4471,2,0,16ffffffffffffff,8
236.917405364,USMsgRx,2648,2,0,12ffffffffffffff,8
237.339246895,USMsgRx,961,2,0,14ffffffffffffff,8
238.363812146,USMsgRx,3137,2,0,10ffffffffffffff,8
238.797187379,USMsgRx,606,2,0,0fffffffffffffff,8
239.149571598,USMsgRx,3706,2,0,0effffffffffffff,8
240.535601807,USMsgRx,2033,2,0,0dffffffffffffff,8
241.235860759,USMsgRx,4747,2,0,09ffffffffffffff,8
242.561248068,USMsgRx,1254,2,0,08ffffffffffffff,8
243.471350986,USMsgRx,2775,2,0,07ffffffffffffff,8
244.346771966,USMsgRx,4640,2,0,05ffffffffffffff,8
244.993494720,USMsgRx,3963,2,0,02ffffffffffffff,8
245.173681135,USMsgRx,2341,2,0,03ffffffffffffff,8
246.031417683,USMsgRx,4407,2,0,fdfeffffffffffff,8
246.126698700,USMsgRx,1285,2,0,fcfeffffffffffff,8
246.665992117,USMsgRx,1890,2,0,fbfeffffffffffff,8
247.157466218,USMsgRx,2501,2,0,fffeffffffffffff,8
248.332813394,USMsgRx,176,2,0,f9feffffffffffff,8
249.270306057,USMsgRx,656,2,0,f7feffffffffffff,8
249.314612636,USMsgRx,621,2,0,f8feffffffffffff,8
250.555054518,USMsgRx,2191,2,0,f6feffffffffffff,8
250.953964170,USMsgRx,2597,2,0,f4feffffffffffff,8
251.270138271,USMsgRx,3109,2,0,f3feffffffffffff,8
252.065991811,USMsgRx,3215,2,0,f5feffffffffffff,8
253.871162751,USMsgRx,4362,2,0,f2feffffffffffff,8
254.365885539,USMsgRx,593,2,0,ecfeffffffffffff,8
254.900592546,USMsgRx,1885,2,0,ebfeffffffffffff,8
255.190414840,USMsgRx,1617,2,0,f0feffffffffffff,8
256.940760646,USMsgRx,1723,2,0,e7feffffffffffff,8
257.791888475,USMsgRx,3644,2,0,e5feffffffffffff,8
258.617033671,USMsgRx,4085,2,0,e6feffffffffffff,8
258.823397103,USMsgRx,3316,2,0,e1feffffffffffff,8
259.319474934,USMsgRx,2901,2,0,dffeffffffffffff,8
260.199009812,USMsgRx,4697,2,0,ddfeffffffffffff,8
263.427875414,USMsgRx,279,2,0,dafeffffffffffff,8
264.863401852,USMsgRx,2259,2,0,d8feffffffffffff,8
264.928147839,USMsgRx,4156,2,0,d6feffffffffffff,8
265.088347554,USMsgRx,2892,2,0,d4feffffffffffff,8
266.405370450,USMsgRx,2196,2,0,d3feffffffffffff,8
266.489773526,USMsgRx,4617,2,0,d1feffffffffffff,8
266.677025704,USMsgRx,4854,2,0,d2feffffffffffff,8
267.441913301,USMsgRx,2146,2,0,cffeffffffffffff,8
268.193169101,USMsgRx,2897,2,0,cefeffffffffffff,8
268.267151239,USMsgRx,1601,2,0,d0feffffffffffff,8
268.916607257,USMsgRx,1261,2,0,ccfeffffffffffff,8
270.063467229,USMsgRx,4139,2,0,c9feffffffffffff,8
270.526162640,USMsgRx,3341,2,0,c8feffffffffffff,8
271.525761961,USMsgRx,3767,2,0,c6feffffffffffff,8
274.071784130,USMsgRx,5,2,0,c1feffffffffffff,8
275.776825691,USMsgRx,3534,2,0,bafeffffffffffff,8
276.657865072,USMsgRx,4430,2,0,b5feffffffffffff,8
276.689737462,USMsgRx,478,2,0,b7feffffffffffff,8
277.835060836,USMsgRx,2837,2,0,b3feffffffffffff,8
279.059150157,USMsgRx,3288,2,0,b0feffffffffffff,8
279.091907982,USMsgRx,4278,2,0,b1feffffffffffff,8
279.579230240,USMsgRx,2093,2,0,adfeffffffffffff,8
280.132429488,USMsgRx,2201,2,0,aefeffffffffffff,8
281.722073610,USMsgRx,4083,2,0,aafeffffffffffff,8
283.709603958,USMsgRx,2531,2,0,a7feffffffffffff,8
283.938005243,USMsgRx,1603,2,0,a6feffffffffffff,8
284.023031970,USMsgRx,297,2,0,a9feffffffffffff,8
285.230516688,USMsgRx,107,2,0,a3feffffffffffff,8
285.564749630,USMsgRx,2385,2,0,a4feffffffffffff,8
285.954070489,USMsgRx,4694,2,0,a1feffffffffffff,8
285.989956152,USMsgRx,261,2,0,a2feffffffffffff,8
286.448648756,USMsgRx,523,2,0,9ffeffffffffffff,8
286.931384140,USMsgRx,769,2,0,9bfeffffffffffff,8
287.089350160,USMsgRx,4758,2,0,9dfeffffffffffff,8
287.143028209,USMsgRx,15,2,0,9efeffffffffffff,8
288.044994857,USMsgRx,1345,2,0,97feffffffffffff,8
288.142955135,USMsgRx,4252,2,0,9cfeffffffffffff,8
288.528929043,USMsgRx,1974,2,0,98feffffffffffff,8
288.941242028,USMsgRx,3285,2,0,96feffffffffffff,8
289.668127025,USMsgRx,4506,2,0,95feffffffffffff,8
290.550850074,USMsgRx,3165,2,0,93feffffffffffff,8
290.649819510,USMsgRx,1479,2,0,94feffffffffffff,8
291.896884930,USMsgRx,2231,2,0,8efeffffffffffff,8
293.649735444,USMsgRx,640,2,0,8afeffffffffffff,8
294.451171060,USMsgRx,2705,2,0,88feffffffffffff,8
296.019195570,USMsgRx,2866,2,0,85feffffffffffff,8
296.134649324,USMsgRx,1621,2,0,87feffffffffffff,8
296.415001660,USMsgRx,4787,2,0,84feffffffffffff,8
298.763409440,USMsgRx,1576,2,0,79feffffffffffff,8
300.776332477,USMsgRx,747,2,0,74feffffffffffff,8
300.824590627,USMsgRx,2379,2,0,77feffffffffffff,8
301.626865466,USMsgRx,3301,2,0,76feffffffffffff,8
302.309564260,USMsgRx,1671,2,0,6ffeffffffffffff,8
302.956169859,USMsgRx,1652,2,0,6efeffffffffffff,8
303.605922780,USMsgRx,1462,2,0,6cfeffffffffffff,8
304.811851860,USMsgRx,2515,2,0,6afeffffffffffff,8
306.092330432,USMsgRx,735,2,0,69feffffffffffff,8
308.233394765,USMsgRx,901,2,0,62feffffffffffff,8
308.574634854,USMsgRx,2777,2,0,61feffffffffffff,8
309.164499322,USMsgRx,4464,2,0,5ffeffffffffffff,8
309.494562719,USMsgRx,1688,2,0,5bfeffffffffffff,8
309.807262603,USMsgRx,41,2,0,60feffffffffffff,8
310.967938524,USMsgRx,1682,2,0,57feffffffffffff,8
311.294580554,USMsgRx,2149,2,0,56feffffffffffff,8
312.097385072,USMsgRx,4682,2,0,54feffffffffffff,8
312.945247991,USMsgRx,114,2,0,50feffffffffffff,8
313.261919158,USMsgRx,426,2,0,53feffffffffffff,8
313.762726722,USMsgRx,4266,2,0,4ffeffffffffffff,8
314.877285276,USMsgRx,3830,2,0,4efeffffffffffff,8
315.618035596,USMsgRx,3274,2,0,4cfeffffffffffff,8
315.631652817,USMsgRx,4936,2,0,4bfeffffffffffff,8
316.621036206,USMsgRx,3829,2,0,47feffffffffffff,8
316.676072220,USMsgRx,33,2,0,48feffffffffffff,8
317.096821336,USMsgRx,501,2,0,42feffffffffffff,8
317.417359485,USMsgRx,2730,2,0,45feffffffffffff,8
317.797415222,USMsgRx,4479,2,0,3efeffffffffffff,8
317.855047514,USMsgRx,3003,2,0,40feffffffffffff,8
318.805597336,USMsgRx,3770,2,0,3cfeffffffffffff,8
320.306405435,USMsgRx,4762,2,0,38feffffffffffff,8
321.060134453,USMsgRx,3513,2,0,37feffffffffffff,8
321.211467704,USMsgRx,3171,2,0,36feffffffffffff,8
