Time,TraceSource,NodeId,MsgType,PacketHex,PacketLength
142.253965788,USMsgTx,4893,2,1d13000000010000a9ffffffffffffff,16
142.387491677,USMsgTx,1478,2,c605000000010000a8ffffffffffffff,16
143.889724445,USMsgTx,3113,2,290c000000010000a7ffffffffffffff,16
144.112174858,USMsgTx,517,2,0502000000010000a6ffffffffffffff,16
146.428850446,USMsgTx,1337,2,3905000000010000a5ffffffffffffff,16
146.884814056,USMsgTx,789,2,1503000000010000a4ffffffffffffff,16
147.876947922,USMsgTx,4202,2,6a10000000010000a3ffffffffffffff,16
148.480083090,USMsgTx,2977,2,a10b000000010000a2ffffffffffffff,16
149.305211229,USMsgTx,647,2,8702000000010000a1ffffffffffffff,16
150.549979580,USMsgTx,2802,2,f20a000000010000a0ffffffffffffff,16
151.952224970,USMsgTx,3960,2,780f0000000100009fffffffffffffff,16
152.617319171,USMsgTx,3527,2,c70d0000000100009effffffffffffff,16
153.086614128,USMsgTx,3660,2,4c0e0000000100009dffffffffffffff,16
153.147249169,USMsgTx,927,2,9f030000000100009cffffffffffffff,16
153.344229490,USMsgTx,4973,2,6d130000000100009bffffffffffffff,16
154.508735527,USMsgTx,1048,2,18040000000100009affffffffffffff,16
155.296993628,USMsgTx,2632,2,480a00000001000099ffffffffffffff,16
157.765223181,USMsgTx,2130,2,520800000001000098ffffffffffffff,16
158.246618185,USMsgTx,3243,2,ab0c00000001000097ffffffffffffff,16
158.648109830,USMsgTx,4849,2,f11200000001000096ffffffffffffff,16
158.997046102,USMsgTx,930,2,a20300000001000095ffffffffffffff,16
159.735596580,USMsgTx,3382,2,360d00000001000094ffffffffffffff,16
160.114739766,USMsgTx,4727,2,771200000001000093ffffffffffffff,16
160.822183115,USMsgTx,1293,2,0d0500000001000092ffffffffffffff,16
163.675474874,USMsgTx,2853,2,250b00000001000091ffffffffffffff,16
163.728629484,USMsgTx,2394,2,5a0900000001000090ffffffffffffff,16
164.054175983,USMsgTx,3482,2,9a0d0000000100008fffffffffffffff,16
165.031473251,USMsgTx,508,2,fc010000000100008effffffffffffff,16
165.588123570,USMsgTx,2998,2,b60b0000000100008dffffffffffffff,16
167.579987401,USMsgTx,2472,2,a8090000000100008cffffffffffffff,16
168.032975505,USMsgTx,166,2,a6000000000100008bffffffffffffff,16
168.866293044,USMsgTx,811,2,2b030000000100008affffffffffffff,16
168.950698673,USMsgTx,1913,2,790700000001000089ffffffffffffff,16
169.270631881,USMsgTx,1628,2,5c0600000001000088ffffffffffffff,16
169.326566769,USMsgTx,4040,2,c80f00000001000087ffffffffffffff,16
169.792399791,USMsgTx,1952,2,a00700000001000086ffffffffffffff,16
171.200060869,USMsgTx,2787,2,e30a00000001000085ffffffffffffff,16
172.717505675,USMsgTx,4532,2,b41100000001000084ffffffffffffff,16
