Time,TraceSource,NodeId,MsgType,PacketHex,PacketLength
2451.933022448,USMsgTx,5,2,0500000000010000ffffffffffffffff,16
3206.983609276,USMsgTx,2,2,0200000000010000feffffffffffffff,16
3753.764006048,USMsgTx,4,2,0400000000010000fdffffffffffffff,16
4976.184021621,USMsgTx,3,2,0300000000010000fcffffffffffffff,16
6323.331863794,USMsgTx,1,2,0100000000010000fbffffffffffffff,16
8461.342180067,USMsgTx,2,2,0200000000020000faffffffffffffff,16
8571.075248108,USMsgTx,5,2,0500000000020000f9ffffffffffffff,16
10416.718031902,USMsgTx,4,2,0400000000020000f8ffffffffffffff,16
10799.202728697,USMsgTx,3,2,0300000000020000f7ffffffffffffff,16
12341.662981096,USMsgTx,1,2,0100000000020000f6ffffffffffffff,16
14286.722000859,USMsgTx,5,2,0500000000030000f5ffffffffffffff,16
15168.934524184,USMsgTx,2,2,0200000000030000f4ffffffffffffff,16
16389.633569270,USMsgTx,4,2,0400000000030000f3ffffffffffffff,16
16707.951405796,USMsgTx,3,2,0300000000030000f2ffffffffffffff,16
18464.381609319,USMsgTx,1,2,0100000000030000f1ffffffffffffff,16
20577.069551574,USMsgTx,5,2,0500000000040000f0ffffffffffffff,16
20923.399424102,USMsgTx,2,2,0200000000040000efffffffffffffff,16
22075.270650269,USMsgTx,4,2,0400000000040000eeffffffffffffff,16
23137.110076010,USMsgTx,3,2,0300000000040000edffffffffffffff,16
24742.256313140,USMsgTx,1,2,0100000000040000ecffffffffffffff,16
26171.389692357,USMsgTx,5,2,0500000000050000ebffffffffffffff,16
26911.073921225,USMsgTx,2,2,0200000000050000eaffffffffffffff,16
27968.707894345,USMsgTx,4,2,0400000000050000e9ffffffffffffff,16
29231.175553887,USMsgTx,3,2,0300000000050000e8ffffffffffffff,16
30640.568357295,USMsgTx,1,2,0100000000050000e7ffffffffffffff,16
32487.763962068,USMsgTx,2,2,0200000000060000e6ffffffffffffff,16
32812.817493864,USMsgTx,5,2,0500000000060000e5ffffffffffffff,16
34272.552986580,USMsgTx,4,2,0400000000060000e4ffffffffffffff,16
34909.559480982,USMsgTx,3,2,0300000000060000e3ffffffffffffff,16
35946.144560165,USMsgTx,1,2,0100000000060000e2ffffffffffffff,16
38040.022486523,USMsgTx,5,2,0500000000070000e1ffffffffffffff,16
39034.948354649,USMsgTx,2,2,0200000000070000e0ffffffffffffff,16
40140.090236611,USMsgTx,4,2,0400000000070000dfffffffffffffff,16
40435.007180105,USMsgTx,3,2,0300000000070000deffffffffffffff,16
41947.990944115,USMsgTx,1,2,0100000000070000ddffffffffffffff,16
44637.466832387,USMsgTx,2,2,0200000000080000dcffffffffffffff,16
44759.822371215,USMsgTx,5,2,0500000000080000dbffffffffffffff,16
45783.450943710,USMsgTx,4,2,0400000000080000daffffffffffffff,16
46434.161066334,USMsgTx,3,2,0300000000080000d9ffffffffffffff,16
48816.685043035,USMsgTx,1,2,0100000000080000d8ffffffffffffff,16
50646.813692137,USMsgTx,5,2,0500000000090000d7ffffffffffffff,16
51267.800840223,USMsgTx,2,2,0200000000090000d6ffffffffffffff,16
51999.981738625,USMsgTx,4,2,0400000000090000d5ffffffffffffff,16
53280.640411952,USMsgTx,3,2,0300000000090000d4ffffffffffffff,16
54737.138036364,USMsgTx,1,2,0100000000090000d3ffffffffffffff,16
56255.724739699,USMsgTx,5,2,05000000000a0000d2ffffffffffffff,16
56826.096238783,USMsgTx,2,2,02000000000a0000d1ffffffffffffff,16
57840.028403728,USMsgTx,4,2,04000000000a0000d0ffffffffffffff,16
58530.959681802,USMsgTx,3,2,03000000000a0000cfffffffffffffff,16
59980.163345852,USMsgTx,1,2,01000000000a0000ceffffffffffffff,16
